کد محصول,شناسه دسته بندی,دسته بندی,جزئیات محصول ( دسته بندی ),واحد اصلی,واحد فرعی,حداقل سفارش,حداکثر سفارش,درجه شمارش,ضریب محصول,قیمت پایه محصول,موجودی محصول
rahsakht-1011055001001,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: 3SP، تولید کننده: یزد",کیلوگرم,طاقه,1,3,1,2000,309091,0
rahsakht-1011055001003,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: 3SP، تولید کننده: گلستان",کیلوگرم,طاقه,1,3,1,2000,309091,0
rahsakht-1011055001004,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: 3SP، تولید کننده: ابهر",کیلوگرم,طاقه,1,3,1,2000,309091,3351.6
rahsakht-1011055001005,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: 3SP، تولید کننده: امیر آباد",کیلوگرم,طاقه,1,3,1,2000,309091,0
rahsakht-1011055001006,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: 3SP، تولید کننده: بستان آباد",کیلوگرم,طاقه,1,3,1,2000,309091,0
rahsakht-1011055001011,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: 3SP، تولید کننده: کرمان",کیلوگرم,طاقه,1,3,1,2000,309091,0
rahsakht-1011055002002,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: RST34، تولید کننده: بافق",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011055002003,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: RST34، تولید کننده: گلستان",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011055002004,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: RST34، تولید کننده: ابهر",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011055002005,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: RST34، تولید کننده: امیر آباد",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011055002006,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: RST34، تولید کننده: بستان آباد",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011055003002,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: 1008، تولید کننده: بافق",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011055003011,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: 1008، تولید کننده: ذوب آهن",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011055012001,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: 1008، تولید کننده: یزد",کیلوگرم,طاقه,1,3,1,2000,327273,50
rahsakht-1011055012006,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: 1008، تولید کننده: بستان آباد",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011055012011,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: 1008، تولید کننده: کرمان",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011055013001,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: 1006، تولید کننده: یزد",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011055013002,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: 1006، تولید کننده: بافق",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011055013004,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: 1006، تولید کننده: ابهر",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011055013006,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: 1006، تولید کننده: بستان آباد",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011055013011,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 5.5، گرید: 1006، تولید کننده: کرمان",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011065001001,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 6.5، گرید: 3SP، تولید کننده: یزد",کیلوگرم,طاقه,1,3,1,2000,309091,0
rahsakht-1011065001003,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 6.5، گرید: 3SP، تولید کننده: گلستان",کیلوگرم,طاقه,1,3,1,2000,309091,0
rahsakht-1011065001004,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 6.5، گرید: 3SP، تولید کننده: ابهر",کیلوگرم,طاقه,1,3,1,2000,309091,0
rahsakht-1011065001005,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 6.5، گرید: 3SP، تولید کننده: امیر آباد",کیلوگرم,طاقه,1,3,1,2000,309091,0
rahsakht-1011065001006,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 6.5، گرید: 3SP، تولید کننده: بستان آباد",کیلوگرم,طاقه,1,3,1,2000,309091,0
rahsakht-1011065001007,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 6.5، گرید: 3SP، تولید کننده: نطنز",کیلوگرم,طاقه,1,3,1,2000,309091,0
rahsakht-1011065001011,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 6.5، گرید: 3SP، تولید کننده: کرمان",کیلوگرم,طاقه,1,3,1,2000,309091,0
rahsakht-1011065002003,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 6.5، گرید: RST34، تولید کننده: گلستان",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011065002005,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 6.5، گرید: 5SP، تولید کننده: امیر آباد",کیلوگرم,طاقه,1,3,1,2000,304546,0
rahsakht-1011065002006,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 6.5، گرید: RST34، تولید کننده: بستان آباد",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011065004002,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 6.5، گرید: 1006، تولید کننده: بافق",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011080001006,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 8، گرید: 3SP، تولید کننده: بستان آباد",کیلوگرم,طاقه,1,3,1,2000,322728,0
rahsakht-1011080002002,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 8، گرید: RST34، تولید کننده: بافق",کیلوگرم,طاقه,1,3,1,2000,322728,0
rahsakht-1011080002004,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 8، گرید: RST34، تولید کننده: ابهر",کیلوگرم,طاقه,1,3,1,2000,322728,0
rahsakht-1011080003001,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 8، گرید: 1008، تولید کننده: یزد",کیلوگرم,طاقه,1,3,1,2000,322728,0
rahsakht-1011080003002,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 8، گرید: 1008، تولید کننده: بافق",کیلوگرم,طاقه,1,3,1,2000,322728,0
rahsakht-1011086001001,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 8.6، گرید: 3SP، تولید کننده: یزد",کیلوگرم,طاقه,1,3,1,2000,322728,0
rahsakht-1011086001003,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 8.6، گرید: 3SP، تولید کننده: گلستان",کیلوگرم,طاقه,1,3,1,2000,322728,0
rahsakht-1011086003003,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 8.6، گرید: RST34، تولید کننده: گلستان",کیلوگرم,طاقه,1,3,1,2000,322728,0
rahsakht-1011090001006,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 9، گرید: 3SP، تولید کننده: بستان آباد",کیلوگرم,طاقه,1,3,1,2000,322728,0
rahsakht-1011100002002,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 10، گرید: RST34، تولید کننده: بافق",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1011100003001,4,کلاف مفتول,"نوع کلاف: کلاف مفتول، سایز مفتول (mm): 10، گرید: 1008، تولید کننده: یزد",کیلوگرم,طاقه,1,3,1,2000,327273,0
rahsakht-1012080001000,19,میلگرد,"نوع میلگرد: ساده، وزن (kg): 2.5، سایز میلگرد (mm): 8",کیلوگرم,شاخه,1,1600,1,2.7,272728,803.08
rahsakht-1012100001000,19,میلگرد,"نوع میلگرد: ساده، وزن (kg): 3.5، سایز میلگرد (mm): 10",کیلوگرم,شاخه,1,500,1,3.7,268182,612.72
rahsakht-111012010000000000,4,کلاف مفتول,"نوع کلاف: کلاف کشش شده خام، سایز مفتول (mm): 1.2، گرید: -، تولید کننده: -",کیلوگرم,طاقه,10,4000,1,50,381819,0
rahsakht-111015010000000000,4,کلاف مفتول,"نوع کلاف: کلاف کشش شده خام، سایز مفتول (mm): 1.5، گرید: -، تولید کننده: -",کیلوگرم,طاقه,10,4000,1,50,368182,0
rahsakht-111015020000000015,2,مفتول سیاه,"کاربرد مفتول: آرماتوربندی، سایز مفتول (mm): 1.5 راه ساخت، تولید کننده: راه ساخت",کیلوگرم,طاقه (15 کیلوگرم),1,33,1,15,363637,18
rahsakht-111015020999001000,2,مفتول سیاه,"کاربرد مفتول: تسمه، سایز مفتول (mm): 1.5 تسمه، تولید کننده: تهران",کیلوگرم,طاقه ( 15 کیلوگرم),1,50,1,20,350001,73.68
rahsakht-111015021001000015,2,مفتول سیاه,"کاربرد مفتول: آرماتوربندی، سایز مفتول (mm): 1.5 میهن نور، تولید کننده: میهن نور",کیلوگرم,طاقه (15 کیلوگرم),1,33,1,15,390910,1410
rahsakht-111020010000000000,4,کلاف مفتول,"نوع کلاف: کلاف کشش شده خام، سایز مفتول (mm): 2، گرید: -، تولید کننده: -",کیلوگرم,طاقه,10,4000,1,50,368182,0
rahsakht-111025010000000000,4,کلاف مفتول,"نوع کلاف: کلاف کشش شده خام، سایز مفتول (mm): 2.5، گرید: -، تولید کننده: -",کیلوگرم,طاقه,10,4000,1,50,363637,0
rahsakht-111025020000000015,2,مفتول سیاه,"کاربرد مفتول: قالبندی، سایز مفتول (mm): 2.5 راه ساخت، تولید کننده: راه ساخت",کیلوگرم,طاقه (15 کیلوگرم),1,100,1,15,363637,0
rahsakht-111025020999001000,2,مفتول سیاه,"کاربرد مفتول: تسمه، سایز مفتول (mm): 2.5 تسمه، تولید کننده: تهران",کیلوگرم,طاقه ( 15 کیلوگرم),1,25,1,20,350001,0
rahsakht-111025021001000015,2,مفتول سیاه,"کاربرد مفتول: قالبندی، سایز مفتول (mm): 2.5 میهن نور، تولید کننده: میهن نور",کیلوگرم,طاقه (15کیلوگرم),1,100,1,15,390910,228
rahsakht-111030010000000000,4,کلاف مفتول,"نوع کلاف: کلاف کشش شده خام، سایز مفتول (mm): 3، گرید: -، تولید کننده: -",کیلوگرم,طاقه,10,4000,1,50,350001,0
rahsakht-111030020000000025,2,مفتول سیاه,"کاربرد مفتول: قالبندی، سایز مفتول (mm): 3 (25 کیلویی)، تولید کننده: راه ساخت",کیلوگرم,طاقه (25 کیلوگرم),1,40,1,25,359091,1860
rahsakht-111030020000000040,2,مفتول سیاه,"کاربرد مفتول: قالبندی، سایز مفتول (mm): 3 (40 کیلویی)، تولید کننده: راه ساخت",کیلوگرم,طاقه (40 کیلوگرم),1,25,1,40,354546,2080
rahsakht-111040010000000000,4,کلاف مفتول,"نوع کلاف: کلاف کشش شده خام، سایز مفتول (mm): 4، گرید: -، تولید کننده: -",کیلوگرم,طاقه,10,4000,1,50,350001,0
rahsakht-111040020000000025,2,مفتول سیاه,"کاربرد مفتول: قالبندی، سایز مفتول (mm): 4 (25 کیلویی)، تولید کننده: راه ساخت",کیلوگرم,طاقه (25 کیلوگرم),1,20,1,25,359091,3240
rahsakht-111040020000000040,2,مفتول سیاه,"کاربرد مفتول: قالبندی، سایز مفتول (mm): 4 (40 کیلویی)، تولید کننده: راه ساخت",کیلوگرم,طاقه (40 کیلوگرم),1,25,1,40,354546,2144
rahsakht-111050010000000000,4,کلاف مفتول,"نوع کلاف: کلاف کشش شده خام، سایز مفتول (mm): 5، گرید: -، تولید کننده: -",کیلوگرم,طاقه,20,4000,1,50,345455,0
rahsakht-111060010000000000,4,کلاف مفتول,"نوع کلاف: کلاف کشش شده خام، سایز مفتول (mm): 6، گرید: -، تولید کننده: -",کیلوگرم,طاقه,20,4000,1,50,345455,0
rahsakht-111075010000000000,4,کلاف مفتول,"نوع کلاف: کلاف کشش شده خام، سایز مفتول (mm): 7.5، گرید: -، تولید کننده: -",کیلوگرم,طاقه,20,4000,1,50,359091,0
rahsakht-111080010000000000,4,کلاف مفتول,"نوع کلاف: کلاف کشش شده خام، سایز مفتول (mm): 8، گرید: -، تولید کننده: -",کیلوگرم,طاقه,20,38500,1,50,359091,0
rahsakht-111090010000000000,4,کلاف مفتول,"نوع کلاف: کلاف کشش شده خام، سایز مفتول (mm): 9، گرید: -، تولید کننده: -",کیلوگرم,طاقه,20,4000,1,50,359091,0
rahsakht-112006021001000020,3,مفتول گالوانیزه,"نوع مفتول گالوانیزه: گرم، سایز مفتول گالوانیزه (mm): 0.6، تولید کننده: میهن نور",کیلوگرم,طاقه ( کیلوگرم),1,10,1,20,536364,96
rahsakht-112007021001000020,3,مفتول گالوانیزه,"نوع مفتول گالوانیزه: گرم، سایز مفتول گالوانیزه (mm): 0.7، تولید کننده: میهن نور",کیلوگرم,طاقه ( کیلوگرم),1,10,1,20,536364,384
rahsakht-112008021001000020,3,مفتول گالوانیزه,"نوع مفتول گالوانیزه: گرم، سایز مفتول گالوانیزه (mm): 0.8، تولید کننده: میهن نور",کیلوگرم,طاقه ( کیلوگرم),1,10,1,20,531819,328
rahsakht-112010010000000000,3,مفتول گالوانیزه,"نوع مفتول گالوانیزه: سرد، سایز مفتول گالوانیزه (mm): 1، تولید کننده: راه ساخت",کیلوگرم,طاقه ( کیلوگرم),1,8,1,25,500001,121.2
rahsakht-112012010000000000,3,مفتول گالوانیزه,"نوع مفتول گالوانیزه: سرد، سایز مفتول گالوانیزه (mm): 1.2 (رابیتس بندی)، تولید کننده: راه ساخت",کیلوگرم,طاقه ( کیلوگرم),1,40,1,25,431819,2226.48
rahsakht-112012021001000020,3,مفتول گالوانیزه,"نوع مفتول گالوانیزه: گرم، سایز مفتول گالوانیزه (mm): 1.2، تولید کننده: میهن نور",کیلوگرم,طاقه ( کیلوگرم),1,15,1,20,454546,672
rahsakht-112015010000000000,3,مفتول گالوانیزه,"نوع مفتول گالوانیزه: سرد، سایز مفتول گالوانیزه (mm): 1.5، تولید کننده: راه ساخت",کیلوگرم,طاقه ( کیلوگرم),1,8,1,25,427273,230.72
rahsakht-112015020000000000,3,مفتول گالوانیزه,"نوع مفتول گالوانیزه: گرم، سایز مفتول گالوانیزه (mm): 1.5، تولید کننده: راه ساخت",کیلوگرم,طاقه ( کیلوگرم),1,10,1,50,431819,0
rahsakht-112015021001000020,3,مفتول گالوانیزه,"نوع مفتول گالوانیزه: گرم، سایز مفتول گالوانیزه (mm): 1.5، تولید کننده: میهن نور",کیلوگرم,طاقه ( کیلوگرم),1,15,1,20,454546,544
rahsakht-112015520000000000,3,مفتول گالوانیزه,"نوع مفتول گالوانیزه: گرم، سایز مفتول گالوانیزه (mm): 1.55، تولید کننده: راه ساخت",کیلوگرم,طاقه ( کیلوگرم),1,10,1,50,431819,276.8
rahsakht-112016010000000000,3,مفتول گالوانیزه,"نوع مفتول گالوانیزه: سرد، سایز مفتول گالوانیزه (mm): 1.6، تولید کننده: راه ساخت",کیلوگرم,طاقه ( کیلوگرم),1,8,1,25,427273,0
rahsakht-112016020000000000,3,مفتول گالوانیزه,"نوع مفتول گالوانیزه: گرم، سایز مفتول گالوانیزه (mm): 1.6، تولید کننده: راه ساخت",کیلوگرم,طاقه ( کیلوگرم),1,10,1,50,431819,599.2
rahsakht-112019020000000000,3,مفتول گالوانیزه,"نوع مفتول گالوانیزه: گرم، سایز مفتول گالوانیزه (mm): 1.9، تولید کننده: راه ساخت",کیلوگرم,طاقه ( کیلوگرم),1,10,1,50,422728,2335
rahsakht-112020020000000000,3,مفتول گالوانیزه,"نوع مفتول گالوانیزه: گرم، سایز مفتول گالوانیزه (mm): 2، تولید کننده: راه ساخت",کیلوگرم,طاقه ( کیلوگرم),1,10,1,50,422728,163.28
rahsakht-112021020000000000,3,مفتول گالوانیزه,"نوع مفتول گالوانیزه: گرم، سایز مفتول گالوانیزه (mm): 2.1، تولید کننده: راه ساخت",کیلوگرم,طاقه ( کیلوگرم),1,10,1,50,422728,1005.6
rahsakht-112022020000000000,3,مفتول گالوانیزه,"نوع مفتول گالوانیزه: گرم، سایز مفتول گالوانیزه (mm): 2.2، تولید کننده: راه ساخت",کیلوگرم,طاقه ( کیلوگرم),1,10,1,50,422728,1286.4
rahsakht-112024020000000000,3,مفتول گالوانیزه,"نوع مفتول گالوانیزه: گرم، سایز مفتول گالوانیزه (mm): 2.4، تولید کننده: راه ساخت",کیلوگرم,طاقه ( کیلوگرم),1,10,1,50,422728,1699.64
rahsakht-112027020000000000,3,مفتول گالوانیزه,"نوع مفتول گالوانیزه: گرم، سایز مفتول گالوانیزه (mm): 2.7، تولید کننده: راه ساخت",کیلوگرم,طاقه ( کیلوگرم),1,10,1,50,422728,538.8
